"","from","to","weight"
"1",77,1,328
"2",2,1,2387
"3",38,1,1884
"4",1,1,61931
"5",48,1,384
"6",91,1,5439
"7",159,1,1165
"8",8,1,2929
"9",134,1,9
"10",3,1,22264
"11",5,1,903
"12",120,1,73
"13",11,1,259
"14",35,1,101
"15",15,1,182
"16",30,1,395
"17",57,1,349
"18",4,1,86
"19",99,1,454
"20",13,1,264
"21",43,1,16
"22",106,1,267
"23",31,1,5846
"24",90,1,11
"25",54,1,176
"26",56,1,223
"27",16,1,18
"28",64,1,624
"29",159,3,246
"30",3,3,11185
"31",91,3,328
"32",134,3,5
"33",30,5,90
"34",5,5,8912
"35",159,5,341
"36",91,5,1227
"37",77,5,1134
"38",2,5,259
"39",64,5,259
"40",77,7,36
"41",5,7,7
"42",7,7,13098
"43",38,7,166
"44",56,7,12
"45",159,7,1
"46",77,8,4808
"47",5,8,884
"48",159,8,2835
"49",2,8,12805
"50",3,8,4758
"51",4,8,37
"52",8,8,7850
"53",91,8,469
"54",73,8,5
"55",134,8,27
"56",1,8,3939
"57",64,8,268
"58",120,8,139
"59",127,8,3
"60",119,8,2
"61",99,8,118
"62",11,8,130
"63",10,8,38
"64",13,13,33173
"65",30,13,649
"66",159,13,159
"67",39,13,14
"68",31,13,4749
"69",14,14,506
"70",91,15,88
"71",5,15,155
"72",2,15,1454
"73",4,15,29
"74",159,15,56
"75",77,15,136
"76",38,15,17
"77",21,15,47
"78",16,16,248
"79",7,16,28
"80",159,16,10
"81",17,17,94
"82",18,18,1311
"83",159,18,7
"84",19,19,4437
"85",159,19,24
"86",29,19,62
"87",30,19,782
"88",59,19,2
"89",30,20,601
"90",22,22,5797
"91",134,22,12
"92",7,22,60
"93",159,22,228
"94",65,22,524
"95",21,22,76
"96",146,22,7
"97",91,22,393
"98",30,22,137
"99",56,22,203
"100",64,22,56
"101",110,22,2
"102",32,22,20
"103",24,24,8114
"104",159,24,30
"105",120,29,8
"106",5,29,36
"107",31,29,5241
"108",1,29,34
"109",159,29,71
"110",29,29,3826
"111",38,30,105
"112",159,30,10
"113",1,32,58
"114",159,32,69
"115",38,32,77
"116",2,32,6
"117",32,32,554
"118",22,32,20
"119",116,32,2
"120",91,32,7
"121",134,32,6
"122",15,32,8
"123",30,32,9
"124",56,32,18
"125",54,32,2
"126",18,32,2
"127",33,33,12514
"128",159,33,15
"129",22,33,26
"130",77,36,33
"131",91,36,222
"132",36,36,2654
"133",7,36,5
"134",38,36,15
"135",159,36,44
"136",29,36,17
"137",134,36,2
"138",40,40,955
"139",43,43,111
"140",159,43,125
"141",134,43,29
"142",148,43,1
"143",85,43,11
"144",91,43,29
"145",56,43,13
"146",44,44,291
"147",134,44,1
"148",159,44,1
"149",64,44,3
"150",46,46,1168
"151",77,48,689
"152",2,48,5979
"153",159,48,994
"154",8,48,244
"155",3,48,1126
"156",57,48,22
"157",38,48,202
"158",1,48,736
"159",91,48,387
"160",74,48,104
"161",48,48,2135
"162",120,48,37
"163",5,48,339
"164",64,48,42
"165",35,48,7
"166",44,48,4
"167",134,48,29
"168",92,48,17
"169",36,48,9
"170",119,48,2
"171",6,48,4
"172",11,48,33
"173",13,48,29
"174",99,48,73
"175",49,48,1
"176",50,50,856
"177",159,50,8
"178",51,51,99
"179",159,51,13
"180",54,54,358
"181",159,54,6
"182",55,55,420
"183",56,56,5692
"184",38,56,36
"185",159,56,5
"186",57,57,1084
"187",91,57,52
"188",159,57,501
"189",134,57,34
"190",38,57,3
"191",148,57,2
"192",31,57,195
"193",64,57,18
"194",30,57,25
"195",59,59,283
"196",61,61,111
"197",159,61,4
"198",63,63,278
"199",91,64,10
"200",1,64,7
"201",64,64,243
"202",159,64,5
"203",85,64,12
"204",30,64,16
"205",50,64,3
"206",134,64,1
"207",38,65,46
"208",159,65,29
"209",134,65,1
"210",21,65,2
"211",91,65,5
"212",30,65,7
"213",73,65,2
"214",68,68,87
"215",134,68,33
"216",159,68,29
"217",91,68,15
"218",56,68,12
"219",95,68,1
"220",48,74,4
"221",74,74,79
"222",5,74,5
"223",90,74,3
"224",3,74,1
"225",57,74,1
"226",38,74,1
"227",159,74,2
"228",91,76,3
"229",64,76,2
"230",99,76,1
"231",3,77,2
"232",77,77,289
"233",5,77,17
"234",15,77,2
"235",159,77,16
"236",64,77,201
"237",120,77,7
"238",91,77,116
"239",80,80,103
"240",21,85,3
"241",159,85,9
"242",38,85,4
"243",30,85,1
"244",90,90,21
"245",159,91,52770
"246",5,91,18636
"247",22,91,7693
"248",56,91,6810
"249",15,91,1745
"250",91,91,94465
"251",1,91,59501
"252",38,91,4112
"253",2,91,16932
"254",120,91,818
"255",74,91,690
"256",8,91,1217
"257",77,91,5544
"258",51,91,351
"259",48,91,836
"260",64,91,3071
"261",55,91,161
"262",30,91,8192
"263",3,91,17704
"264",47,91,30
"265",92,91,1068
"266",88,91,357
"267",11,91,1463
"268",99,91,2610
"269",89,91,20
"270",134,91,4061
"271",36,91,147
"272",57,91,914
"273",85,91,127
"274",153,91,79
"275",21,91,3234
"276",94,91,185
"277",54,91,252
"278",35,91,336
"279",100,91,440
"280",44,91,127
"281",111,91,1068
"282",62,91,15
"283",16,91,1630
"284",19,91,161
"285",29,91,1213
"286",63,91,294
"287",4,91,591
"288",32,91,1163
"289",174,91,21
"290",86,91,41
"291",208,91,2
"292",49,91,121
"293",166,91,24
"294",76,91,7
"295",72,91,70
"296",59,91,131
"297",127,91,23
"298",18,91,247
"299",13,91,623
"300",90,91,58
"301",130,91,62
"302",7,91,3943
"303",98,91,414
"304",95,91,1411
"305",10,91,153
"306",146,91,118
"307",65,91,968
"308",175,91,10
"309",20,91,477
"310",97,91,19
"311",152,91,7
"312",158,91,21
"313",9,91,91
"314",43,91,121
"315",71,91,76
"316",66,91,29
"317",117,91,58
"318",136,91,14
"319",190,91,10
"320",145,91,18
"321",107,91,9
"322",25,91,16
"323",148,91,528
"324",131,91,41
"325",33,91,90
"326",114,91,7
"327",110,91,48
"328",129,91,53
"329",170,91,40
"330",123,91,43
"331",39,91,117
"332",50,91,45
"333",149,91,41
"334",73,91,147
"335",103,91,39
"336",75,91,33
"337",42,91,17
"338",17,91,99
"339",23,91,373
"340",197,91,2
"341",102,91,25
"342",93,91,10
"343",200,91,2
"344",82,91,18
"345",58,91,51
"346",187,91,20
"347",68,91,36
"348",37,91,41
"349",45,91,23
"350",119,91,28
"351",87,91,9
"352",142,91,23
"353",40,91,12
"354",31,91,1188
"355",189,91,7
"356",106,91,217
"357",12,91,15
"358",167,91,5
"359",27,91,253
"360",137,91,1
"361",24,91,135
"362",41,91,4
"363",141,91,5
"364",185,91,11
"365",207,91,6
"366",133,91,61
"367",61,91,22
"368",52,91,5
"369",113,91,7
"370",121,91,13
"371",168,91,6
"372",14,91,6
"373",181,91,9
"374",6,91,202
"375",60,91,2
"376",79,91,4
"377",80,91,54
"378",138,91,19
"379",179,91,5
"380",125,91,14
"381",28,91,30
"382",201,91,1
"383",160,91,11
"384",46,91,7
"385",26,91,27
"386",53,91,24
"387",151,91,57
"388",67,91,4
"389",116,91,7
"390",95,95,1650
"391",159,95,172
"392",15,95,69
"393",3,95,47
"394",22,95,39
"395",65,95,21
"396",38,95,5
"397",134,95,7
"398",91,95,29
"399",5,99,362
"400",99,99,2196
"401",91,99,137
"402",77,99,239
"403",159,99,181
"404",64,99,130
"405",92,99,14
"406",120,99,11
"407",1,99,124
"408",100,100,95
"409",107,107,7
"410",110,110,46
"411",159,110,33
"412",111,111,75
"413",5,111,2
"414",64,111,79
"415",113,113,298
"416",4,113,12
"417",159,113,197
"418",143,113,3
"419",32,113,2
"420",134,113,9
"421",79,113,10
"422",38,113,6
"423",5,113,1
"424",37,113,3
"425",91,113,10
"426",25,113,1
"427",30,113,8
"428",8,113,3
"429",11,113,3
"430",65,113,1
"431",57,113,3
"432",1,120,346
"433",91,120,84
"434",120,120,950
"435",64,120,203
"436",77,120,100
"437",38,120,1361
"438",5,120,257
"439",159,120,450
"440",8,120,12
"441",74,120,15
"442",73,120,15
"443",17,120,6
"444",111,120,13
"445",30,120,79
"446",99,120,18
"447",11,120,49
"448",167,120,11
"449",29,120,4
"450",2,120,113
"451",20,120,1
"452",57,120,49
"453",44,120,4
"454",3,120,61
"455",65,120,3
"456",56,120,11
"457",4,120,59
"458",24,120,9
"459",123,123,41
"460",159,123,7
"461",30,123,6
"462",125,125,37
"463",134,125,1
"464",159,125,3
"465",142,142,17
"466",32,142,1
"467",146,146,26
"468",5,159,1962
"469",38,159,5706
"470",30,159,2781
"471",4,159,598
"472",159,159,5341
"473",91,159,1511
"474",3,159,557
"475",77,159,1028
"476",120,159,2634
"477",21,159,114
"478",64,159,759
"479",134,159,119
"480",88,159,43
"481",56,159,1155
"482",1,159,5272
"483",8,159,73
"484",65,159,249
"485",98,159,39
"486",22,159,544
"487",7,159,928
"488",15,159,90
"489",174,159,1
"490",32,159,40
"491",57,159,289
"492",51,159,156
"493",18,159,28
"494",31,159,386
"495",11,159,216
"496",73,159,24
"497",148,159,93
"498",123,159,2
"499",39,159,34
"500",102,159,3
"501",85,159,15
"502",132,159,4
"503",152,159,2
"504",49,159,36
"505",23,159,3
"506",80,159,9
"507",20,159,27
"508",89,159,4
"509",29,159,42
"510",92,159,81
"511",10,159,12
"512",59,159,17
"513",13,159,117
"514",63,159,50
"515",68,159,8
"516",9,159,19
"517",145,159,1
"518",118,159,1
"519",170,159,2
"520",95,159,18
"521",99,159,400
"522",138,159,6
"523",24,159,8
"524",168,168,3
"525",41,1,26
"526",2,2,5662
"527",8,2,252
"528",38,3,126
"529",8,3,431
"530",4,4,37100
"531",31,4,33982
"532",8,4,326
"533",8,5,253
"534",7,4,4106
"535",6,6,2112
"536",31,6,1723
"537",99,5,1160
"538",43,8,1631
"539",31,8,1011
"540",116,8,400
"541",91,4,4422
"542",9,9,3436
"543",84,1,3
"544",1,2,34
"545",10,10,1210
"546",31,10,727
"547",8,10,12
"548",11,11,1500
"549",12,12,3179
"550",31,12,2642
"551",8,12,12
"552",7,12,190
"553",30,12,3
"554",15,12,5
"555",31,14,1092
"556",31,3,167
"557",43,15,403
"558",31,15,875
"559",15,15,2242
"560",32,1,77
"561",31,11,131
"562",8,11,12
"563",111,1,129
"564",31,16,201
"565",51,1,90
"566",8,17,1
"567",31,17,35
"568",31,18,373
"569",89,18,1
"570",30,4,836
"571",36,4,100
"572",20,20,19614
"573",8,20,7
"574",21,21,4147
"575",31,21,2775
"576",8,21,69
"577",39,22,5
"578",8,22,4
"579",23,23,1031
"580",31,23,1241
"581",8,23,4
"582",91,12,24
"583",31,7,8451
"584",8,7,536
"585",29,4,816
"586",49,24,99
"587",160,4,54
"588",157,24,11
"589",22,21,5212
"590",59,21,85
"591",38,21,76
"592",25,25,710
"593",31,25,669
"594",8,25,10
"595",15,25,45
"596",26,26,13
"597",3,2,144
"598",31,19,1125
"599",8,19,4
"600",33,7,4195
"601",27,27,7129
"602",2,20,3
"603",29,20,107
"604",81,1,238
"605",30,28,1630
"606",7,10,44
"607",30,30,11477
"608",31,30,3563
"609",138,30,18
"610",49,30,77
"611",45,31,67
"612",31,31,58444
"613",57,32,1178
"614",8,32,31
"615",65,15,63
"616",8,15,15
"617",21,1,46
"618",148,8,503
"619",36,8,285
"620",74,1,338
"621",33,30,207
"622",31,33,14584
"623",8,33,11
"624",22,30,90
"625",8,30,26
"626",136,4,12
"627",8,18,43
"628",34,34,1778
"629",15,18,1
"630",46,7,22
"631",35,35,183
"632",1,3,213
"633",8,24,33
"634",86,1,24
"635",15,4,278
"636",8,13,4
"637",86,12,77
"638",30,8,40
"639",31,20,3411
"640",30,37,10
"641",99,3,12
"642",8,29,15
"643",7,29,937
"644",31,24,1785
"645",91,2,58
"646",91,24,691
"647",65,24,79
"648",41,24,35
"649",4,30,179
